2021-12-28 00:25:49.163 | INFO     | __main__:<module>:77 - | start training .... |
2021-12-28 00:27:13.470 | INFO     | __main__:<module>:106 - | epoch : 0 | training done |
2021-12-28 00:27:16.918 | CRITICAL | __main__:<module>:132 - | epoch : 0 | best_val_dice_score : 0.9119066477675505 |
2021-12-28 00:28:41.640 | INFO     | __main__:<module>:106 - | epoch : 1 | training done |
2021-12-28 00:28:45.117 | CRITICAL | __main__:<module>:132 - | epoch : 1 | best_val_dice_score : 0.9158773543226479 |
2021-12-28 00:30:09.796 | INFO     | __main__:<module>:106 - | epoch : 2 | training done |
2021-12-28 00:30:13.341 | CRITICAL | __main__:<module>:132 - | epoch : 2 | best_val_dice_score : 0.923196208924216 |
2021-12-28 00:31:37.779 | INFO     | __main__:<module>:106 - | epoch : 3 | training done |
2021-12-28 00:31:41.289 | CRITICAL | __main__:<module>:132 - | epoch : 3 | best_val_dice_score : 0.9276240611516207 |
2021-12-28 00:33:06.104 | INFO     | __main__:<module>:106 - | epoch : 4 | training done |
2021-12-28 00:33:09.556 | CRITICAL | __main__:<module>:132 - | epoch : 4 | best_val_dice_score : 0.9292795814399953 |
2021-12-28 00:34:33.892 | INFO     | __main__:<module>:106 - | epoch : 5 | training done |
2021-12-28 00:34:37.349 | CRITICAL | __main__:<module>:132 - | epoch : 5 | best_val_dice_score : 0.9294431421884816 |
2021-12-28 00:36:01.929 | INFO     | __main__:<module>:106 - | epoch : 6 | training done |
2021-12-28 00:36:05.395 | CRITICAL | __main__:<module>:132 - | epoch : 6 | best_val_dice_score : 0.9351482290169576 |
2021-12-28 00:37:30.044 | INFO     | __main__:<module>:106 - | epoch : 7 | training done |
2021-12-28 00:37:33.480 | INFO     | __main__:<module>:135 - | epoch : 7 | val done |
2021-12-28 00:38:57.905 | INFO     | __main__:<module>:106 - | epoch : 8 | training done |
2021-12-28 00:39:01.342 | CRITICAL | __main__:<module>:132 - | epoch : 8 | best_val_dice_score : 0.9364864582207382 |
2021-12-28 00:40:25.621 | INFO     | __main__:<module>:106 - | epoch : 9 | training done |
2021-12-28 00:40:29.134 | INFO     | __main__:<module>:135 - | epoch : 9 | val done |
2021-12-28 00:41:53.150 | INFO     | __main__:<module>:106 - | epoch : 10 | training done |
2021-12-28 00:41:56.594 | INFO     | __main__:<module>:135 - | epoch : 10 | val done |
2021-12-28 00:43:21.192 | INFO     | __main__:<module>:106 - | epoch : 11 | training done |
2021-12-28 00:43:24.643 | CRITICAL | __main__:<module>:132 - | epoch : 11 | best_val_dice_score : 0.9389029933027473 |
2021-12-28 00:44:49.028 | INFO     | __main__:<module>:106 - | epoch : 12 | training done |
2021-12-28 00:44:52.520 | INFO     | __main__:<module>:135 - | epoch : 12 | val done |
2021-12-28 00:46:16.949 | INFO     | __main__:<module>:106 - | epoch : 13 | training done |
2021-12-28 00:46:20.410 | CRITICAL | __main__:<module>:132 - | epoch : 13 | best_val_dice_score : 0.9399892503122184 |
2021-12-28 00:47:45.364 | INFO     | __main__:<module>:106 - | epoch : 14 | training done |
2021-12-28 00:47:48.489 | INFO     | __main__:<module>:135 - | epoch : 14 | val done |
2021-12-28 00:49:13.709 | INFO     | __main__:<module>:106 - | epoch : 15 | training done |
2021-12-28 00:49:16.217 | INFO     | __main__:<module>:135 - | epoch : 15 | val done |
2021-12-28 00:50:41.261 | INFO     | __main__:<module>:106 - | epoch : 16 | training done |
2021-12-28 00:50:44.894 | INFO     | __main__:<module>:135 - | epoch : 16 | val done |
2021-12-28 00:52:09.318 | INFO     | __main__:<module>:106 - | epoch : 17 | training done |
2021-12-28 00:52:12.784 | INFO     | __main__:<module>:135 - | epoch : 17 | val done |
2021-12-28 00:53:37.201 | INFO     | __main__:<module>:106 - | epoch : 18 | training done |
2021-12-28 00:53:40.656 | INFO     | __main__:<module>:135 - | epoch : 18 | val done |
2021-12-28 00:55:05.000 | INFO     | __main__:<module>:106 - | epoch : 19 | training done |
2021-12-28 00:55:08.477 | INFO     | __main__:<module>:135 - | epoch : 19 | val done |
2021-12-28 00:56:32.817 | INFO     | __main__:<module>:106 - | epoch : 20 | training done |
