2021-12-28 00:20:52.725 | INFO     | __main__:<module>:77 - | start training .... |
2021-12-28 00:21:30.782 | INFO     | __main__:<module>:106 - | epoch : 0 | training done |
2021-12-28 00:21:33.237 | CRITICAL | __main__:<module>:132 - | epoch : 0 | best_val_dice_score : 0.8925819701022001 |
2021-12-28 00:22:11.289 | INFO     | __main__:<module>:106 - | epoch : 1 | training done |
2021-12-28 00:22:13.770 | CRITICAL | __main__:<module>:132 - | epoch : 1 | best_val_dice_score : 0.9059400263967253 |
2021-12-28 00:22:51.942 | INFO     | __main__:<module>:106 - | epoch : 2 | training done |
2021-12-28 00:22:54.387 | CRITICAL | __main__:<module>:132 - | epoch : 2 | best_val_dice_score : 0.910455921368696 |
2021-12-28 00:23:32.559 | INFO     | __main__:<module>:106 - | epoch : 3 | training done |
2021-12-28 00:23:34.993 | CRITICAL | __main__:<module>:132 - | epoch : 3 | best_val_dice_score : 0.9209333347040665 |
2021-12-28 00:24:13.211 | INFO     | __main__:<module>:106 - | epoch : 4 | training done |
2021-12-28 00:24:15.686 | CRITICAL | __main__:<module>:132 - | epoch : 4 | best_val_dice_score : 0.9238277712200572 |
2021-12-28 00:24:53.901 | INFO     | __main__:<module>:106 - | epoch : 5 | training done |
2021-12-28 00:24:56.400 | CRITICAL | __main__:<module>:132 - | epoch : 5 | best_val_dice_score : 0.9265757187979007 |
2021-12-28 00:25:34.612 | INFO     | __main__:<module>:106 - | epoch : 6 | training done |
2021-12-28 00:25:37.053 | CRITICAL | __main__:<module>:132 - | epoch : 6 | best_val_dice_score : 0.9300738178465399 |
2021-12-28 00:26:47.391 | INFO     | __main__:<module>:106 - | epoch : 7 | training done |
2021-12-28 00:26:50.951 | INFO     | __main__:<module>:135 - | epoch : 7 | val done |
2021-12-28 00:28:11.291 | INFO     | __main__:<module>:106 - | epoch : 8 | training done |
2021-12-28 00:28:14.805 | INFO     | __main__:<module>:135 - | epoch : 8 | val done |
2021-12-28 00:29:34.898 | INFO     | __main__:<module>:106 - | epoch : 9 | training done |
2021-12-28 00:29:38.443 | INFO     | __main__:<module>:135 - | epoch : 9 | val done |
2021-12-28 00:30:58.376 | INFO     | __main__:<module>:106 - | epoch : 10 | training done |
2021-12-28 00:31:01.899 | CRITICAL | __main__:<module>:132 - | epoch : 10 | best_val_dice_score : 0.9330258012361567 |
2021-12-28 00:32:22.109 | INFO     | __main__:<module>:106 - | epoch : 11 | training done |
2021-12-28 00:32:25.655 | INFO     | __main__:<module>:135 - | epoch : 11 | val done |
2021-12-28 00:33:45.765 | INFO     | __main__:<module>:106 - | epoch : 12 | training done |
2021-12-28 00:33:49.299 | CRITICAL | __main__:<module>:132 - | epoch : 12 | best_val_dice_score : 0.9339212812994455 |
