2021-12-29 15:48:17.118 | INFO     | __main__:<module>:80 - | start training .... |
2021-12-29 15:48:27.926 | INFO     | __main__:<module>:108 - | epoch : 0 | training done |
2021-12-29 15:48:28.921 | CRITICAL | __main__:<module>:130 - | epoch : 0 | best_val_dice_score : 0.5446054825725668 |
2021-12-29 15:48:40.290 | INFO     | __main__:<module>:108 - | epoch : 1 | training done |
2021-12-29 15:48:41.257 | CRITICAL | __main__:<module>:130 - | epoch : 1 | best_val_dice_score : 0.5558669357427325 |
2021-12-29 15:48:52.354 | INFO     | __main__:<module>:108 - | epoch : 2 | training done |
2021-12-29 15:48:53.322 | CRITICAL | __main__:<module>:130 - | epoch : 2 | best_val_dice_score : 0.5845209619477407 |
2021-12-29 15:49:04.359 | INFO     | __main__:<module>:108 - | epoch : 3 | training done |
2021-12-29 15:49:05.334 | CRITICAL | __main__:<module>:130 - | epoch : 3 | best_val_dice_score : 0.6651735424675136 |
2021-12-29 15:49:16.315 | INFO     | __main__:<module>:108 - | epoch : 4 | training done |
2021-12-29 15:49:17.318 | INFO     | __main__:<module>:133 - | epoch : 4 | val done |
2021-12-29 15:49:28.041 | INFO     | __main__:<module>:108 - | epoch : 5 | training done |
2021-12-29 15:49:29.027 | INFO     | __main__:<module>:133 - | epoch : 5 | val done |
2021-12-29 15:49:39.815 | INFO     | __main__:<module>:108 - | epoch : 6 | training done |
2021-12-29 15:49:40.798 | INFO     | __main__:<module>:133 - | epoch : 6 | val done |
2021-12-29 15:49:51.669 | INFO     | __main__:<module>:108 - | epoch : 7 | training done |
2021-12-29 15:49:52.640 | CRITICAL | __main__:<module>:130 - | epoch : 7 | best_val_dice_score : 0.7947405694388314 |
2021-12-29 15:50:03.678 | INFO     | __main__:<module>:108 - | epoch : 8 | training done |
2021-12-29 15:50:04.674 | CRITICAL | __main__:<module>:130 - | epoch : 8 | best_val_dice_score : 0.8013985553016096 |
2021-12-29 15:50:15.889 | INFO     | __main__:<module>:108 - | epoch : 9 | training done |
2021-12-29 15:50:16.865 | INFO     | __main__:<module>:133 - | epoch : 9 | val done |
2021-12-29 15:50:27.610 | INFO     | __main__:<module>:108 - | epoch : 10 | training done |
2021-12-29 15:50:28.581 | INFO     | __main__:<module>:133 - | epoch : 10 | val done |
2021-12-29 15:50:39.319 | INFO     | __main__:<module>:108 - | epoch : 11 | training done |
2021-12-29 15:50:40.307 | INFO     | __main__:<module>:133 - | epoch : 11 | val done |
2021-12-29 15:50:51.039 | INFO     | __main__:<module>:108 - | epoch : 12 | training done |
2021-12-29 15:50:52.013 | INFO     | __main__:<module>:133 - | epoch : 12 | val done |
2021-12-29 15:51:02.762 | INFO     | __main__:<module>:108 - | epoch : 13 | training done |
2021-12-29 15:51:03.736 | CRITICAL | __main__:<module>:130 - | epoch : 13 | best_val_dice_score : 0.811455336575625 |
