2021-12-28 10:07:37.281 | INFO     | __main__:<module>:77 - | start training .... |
2021-12-28 10:07:39.116 | INFO     | __main__:<module>:106 - | epoch : 0 | training done |
2021-12-28 10:07:39.735 | CRITICAL | __main__:<module>:132 - | epoch : 0 | best_val_dice_score : 0.20075477521413612 |
2021-12-28 10:07:41.602 | INFO     | __main__:<module>:106 - | epoch : 1 | training done |
2021-12-28 10:07:42.185 | CRITICAL | __main__:<module>:132 - | epoch : 1 | best_val_dice_score : 0.2728407237307999 |
2021-12-28 10:07:44.222 | INFO     | __main__:<module>:106 - | epoch : 2 | training done |
2021-12-28 10:07:44.815 | INFO     | __main__:<module>:135 - | epoch : 2 | val done |
2021-12-28 10:07:46.603 | INFO     | __main__:<module>:106 - | epoch : 3 | training done |
2021-12-28 10:07:47.192 | INFO     | __main__:<module>:135 - | epoch : 3 | val done |
2021-12-28 10:07:48.950 | INFO     | __main__:<module>:106 - | epoch : 4 | training done |
2021-12-28 10:07:49.532 | INFO     | __main__:<module>:135 - | epoch : 4 | val done |
2021-12-28 10:07:51.298 | INFO     | __main__:<module>:106 - | epoch : 5 | training done |
2021-12-28 10:07:51.886 | INFO     | __main__:<module>:135 - | epoch : 5 | val done |
2021-12-28 10:07:53.644 | INFO     | __main__:<module>:106 - | epoch : 6 | training done |
2021-12-28 10:07:54.236 | CRITICAL | __main__:<module>:132 - | epoch : 6 | best_val_dice_score : 0.2829846965037882 |
2021-12-28 10:07:56.332 | INFO     | __main__:<module>:106 - | epoch : 7 | training done |
2021-12-28 10:07:56.911 | INFO     | __main__:<module>:135 - | epoch : 7 | val done |
2021-12-28 10:07:58.682 | INFO     | __main__:<module>:106 - | epoch : 8 | training done |
2021-12-28 10:07:59.260 | CRITICAL | __main__:<module>:132 - | epoch : 8 | best_val_dice_score : 0.2887719018641509 |
2021-12-28 10:08:01.434 | INFO     | __main__:<module>:106 - | epoch : 9 | training done |
2021-12-28 10:08:02.029 | INFO     | __main__:<module>:135 - | epoch : 9 | val done |
2021-12-28 10:08:03.801 | INFO     | __main__:<module>:106 - | epoch : 10 | training done |
2021-12-28 10:08:04.430 | INFO     | __main__:<module>:135 - | epoch : 10 | val done |
2021-12-28 10:08:06.183 | INFO     | __main__:<module>:106 - | epoch : 11 | training done |
2021-12-28 10:08:06.804 | INFO     | __main__:<module>:135 - | epoch : 11 | val done |
2021-12-28 10:08:08.573 | INFO     | __main__:<module>:106 - | epoch : 12 | training done |
2021-12-28 10:08:09.166 | INFO     | __main__:<module>:135 - | epoch : 12 | val done |
2021-12-28 10:08:10.910 | INFO     | __main__:<module>:106 - | epoch : 13 | training done |
2021-12-28 10:08:11.517 | CRITICAL | __main__:<module>:132 - | epoch : 13 | best_val_dice_score : 0.29720440700977413 |
2021-12-28 10:08:13.617 | INFO     | __main__:<module>:106 - | epoch : 14 | training done |
2021-12-28 10:08:14.233 | CRITICAL | __main__:<module>:132 - | epoch : 14 | best_val_dice_score : 0.31035801464046775 |
2021-12-28 10:08:16.298 | INFO     | __main__:<module>:106 - | epoch : 15 | training done |
2021-12-28 10:08:16.913 | INFO     | __main__:<module>:135 - | epoch : 15 | val done |
2021-12-28 10:08:18.658 | INFO     | __main__:<module>:106 - | epoch : 16 | training done |
2021-12-28 10:08:19.285 | CRITICAL | __main__:<module>:132 - | epoch : 16 | best_val_dice_score : 0.31303933053599675 |
2021-12-28 10:08:21.331 | INFO     | __main__:<module>:106 - | epoch : 17 | training done |
2021-12-28 10:08:21.962 | INFO     | __main__:<module>:135 - | epoch : 17 | val done |
2021-12-28 10:08:23.717 | INFO     | __main__:<module>:106 - | epoch : 18 | training done |
2021-12-28 10:08:24.302 | INFO     | __main__:<module>:135 - | epoch : 18 | val done |
2021-12-28 10:08:26.089 | INFO     | __main__:<module>:106 - | epoch : 19 | training done |
2021-12-28 10:08:26.694 | CRITICAL | __main__:<module>:132 - | epoch : 19 | best_val_dice_score : 0.31309155404824407 |
2021-12-28 10:08:28.800 | INFO     | __main__:<module>:106 - | epoch : 20 | training done |
2021-12-28 10:08:29.381 | CRITICAL | __main__:<module>:132 - | epoch : 20 | best_val_dice_score : 0.3231491464978219 |
2021-12-28 10:08:31.460 | INFO     | __main__:<module>:106 - | epoch : 21 | training done |
