2021-12-28 10:20:40.121 | INFO     | __main__:<module>:77 - | start training .... |
2021-12-28 10:20:42.467 | INFO     | __main__:<module>:106 - | epoch : 0 | training done |
2021-12-28 10:20:43.018 | CRITICAL | __main__:<module>:132 - | epoch : 0 | best_val_dice_score : 0.47727580705061085 |
2021-12-28 10:20:45.371 | INFO     | __main__:<module>:106 - | epoch : 1 | training done |
2021-12-28 10:20:45.946 | CRITICAL | __main__:<module>:132 - | epoch : 1 | best_val_dice_score : 0.4776865791445685 |
2021-12-28 10:20:48.647 | INFO     | __main__:<module>:106 - | epoch : 2 | training done |
2021-12-28 10:20:49.217 | INFO     | __main__:<module>:135 - | epoch : 2 | val done |
2021-12-28 10:20:51.499 | INFO     | __main__:<module>:106 - | epoch : 3 | training done |
2021-12-28 10:20:52.087 | INFO     | __main__:<module>:135 - | epoch : 3 | val done |
2021-12-28 10:20:54.338 | INFO     | __main__:<module>:106 - | epoch : 4 | training done |
2021-12-28 10:20:54.915 | INFO     | __main__:<module>:135 - | epoch : 4 | val done |
2021-12-28 10:20:57.039 | INFO     | __main__:<module>:106 - | epoch : 5 | training done |
2021-12-28 10:20:57.610 | INFO     | __main__:<module>:135 - | epoch : 5 | val done |
2021-12-28 10:20:59.645 | INFO     | __main__:<module>:106 - | epoch : 6 | training done |
2021-12-28 10:21:00.207 | INFO     | __main__:<module>:135 - | epoch : 6 | val done |
2021-12-28 10:21:02.160 | INFO     | __main__:<module>:106 - | epoch : 7 | training done |
2021-12-28 10:21:02.717 | INFO     | __main__:<module>:135 - | epoch : 7 | val done |
2021-12-28 10:21:04.537 | INFO     | __main__:<module>:106 - | epoch : 8 | training done |
2021-12-28 10:21:05.110 | INFO     | __main__:<module>:135 - | epoch : 8 | val done |
2021-12-28 10:21:06.914 | INFO     | __main__:<module>:106 - | epoch : 9 | training done |
2021-12-28 10:21:07.495 | INFO     | __main__:<module>:135 - | epoch : 9 | val done |
2021-12-28 10:21:09.268 | INFO     | __main__:<module>:106 - | epoch : 10 | training done |
2021-12-28 10:21:09.856 | INFO     | __main__:<module>:135 - | epoch : 10 | val done |
2021-12-28 10:21:11.699 | INFO     | __main__:<module>:106 - | epoch : 11 | training done |
2021-12-28 10:21:12.287 | INFO     | __main__:<module>:135 - | epoch : 11 | val done |
2021-12-28 10:21:14.222 | INFO     | __main__:<module>:106 - | epoch : 12 | training done |
2021-12-28 10:21:14.792 | INFO     | __main__:<module>:135 - | epoch : 12 | val done |
2021-12-28 10:21:16.802 | INFO     | __main__:<module>:106 - | epoch : 13 | training done |
2021-12-28 10:21:17.383 | INFO     | __main__:<module>:135 - | epoch : 13 | val done |
2021-12-28 10:21:19.530 | INFO     | __main__:<module>:106 - | epoch : 14 | training done |
2021-12-28 10:21:20.076 | INFO     | __main__:<module>:135 - | epoch : 14 | val done |
2021-12-28 10:21:22.634 | INFO     | __main__:<module>:106 - | epoch : 15 | training done |
2021-12-28 10:21:23.181 | INFO     | __main__:<module>:135 - | epoch : 15 | val done |
2021-12-28 10:21:25.849 | INFO     | __main__:<module>:106 - | epoch : 16 | training done |
