2022-01-04 17:29:48.371 | INFO     | __main__:<module>:37 - | start training .... |
2022-01-04 17:30:52.514 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 20 | loss : 0.7001194953918457|
2022-01-04 17:31:20.692 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 40 | loss : 0.34918348789215087|
2022-01-04 17:31:48.867 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 60 | loss : 0.23134889602661132|
2022-01-04 17:32:17.014 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 80 | loss : 0.17141722440719603|
2022-01-04 17:32:45.054 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 100 | loss : 0.1374820327758789|
2022-01-04 17:33:13.258 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 120 | loss : 0.11203149954477946|
2022-01-04 17:33:41.543 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 140 | loss : 0.09596187727791923|
2022-01-04 17:34:09.713 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 160 | loss : 0.08290561437606811|
2022-01-04 17:34:37.887 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 180 | loss : 0.07466362317403158|
2022-01-04 17:35:06.087 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 200 | loss : 0.06762107849121093|
2022-01-04 17:35:34.129 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 220 | loss : 0.060744285583496094|
2022-01-04 17:36:02.249 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 240 | loss : 0.05529011090596517|
2022-01-04 17:36:30.353 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 260 | loss : 0.05137377152076134|
2022-01-04 17:36:58.491 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 280 | loss : 0.047629693576267784|
2022-01-04 17:37:26.720 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 300 | loss : 0.04413830439249675|
2022-01-04 17:37:54.883 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 320 | loss : 0.04175865948200226|
2022-01-04 17:38:23.322 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 340 | loss : 0.03888687245986041|
2022-01-04 17:38:51.849 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 360 | loss : 0.03677147759331597|
2022-01-04 17:39:20.357 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 380 | loss : 0.03478466084128932|
2022-01-04 17:39:48.656 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 400 | loss : 0.03264106750488281|
2022-01-04 17:40:16.846 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 420 | loss : 0.031297036579677036|
2022-01-04 17:40:44.937 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 440 | loss : 0.030118517442183062|
2022-01-04 17:41:14.102 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 460 | loss : 0.02818129995594854|
2022-01-04 17:41:42.383 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 480 | loss : 0.026613465944925942|
2022-01-04 17:42:10.818 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 500 | loss : 0.02525274658203125|
2022-01-04 17:42:39.494 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 520 | loss : 0.024769067764282227|
2022-01-04 17:43:07.929 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 540 | loss : 0.02357750998602973|
2022-01-04 17:43:36.356 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 560 | loss : 0.022666399819510324|
2022-01-04 17:44:04.622 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 580 | loss : 0.021603724052166116|
2022-01-04 17:44:32.800 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 600 | loss : 0.021019398371378582|
2022-01-04 17:45:01.069 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 620 | loss : 0.02006911462353122|
2022-01-04 17:45:29.236 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 640 | loss : 0.019327490031719206|
2022-01-04 17:45:57.476 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 660 | loss : 0.018867075082027552|
2022-01-04 17:46:25.585 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 680 | loss : 0.018403178102829876|
2022-01-04 17:46:53.837 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 700 | loss : 0.017597570419311523|
2022-01-04 17:47:22.207 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 720 | loss : 0.01690742572148641|
2022-01-04 17:47:50.444 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 740 | loss : 0.01645891215350177|
2022-01-04 17:48:18.671 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 760 | loss : 0.015976662384836297|
2022-01-04 17:48:46.944 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 780 | loss : 0.01571656129299066|
2022-01-04 17:49:15.659 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 800 | loss : 0.015107101202011109|
2022-01-04 17:49:44.380 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 820 | loss : 0.015081805717654344|
2022-01-04 17:50:12.637 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 840 | loss : 0.014392390705290295|
2022-01-04 17:50:40.904 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 860 | loss : 0.014234712511994117|
2022-01-04 17:51:09.153 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 880 | loss : 0.013419286771254106|
2022-01-04 17:51:37.411 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 900 | loss : 0.01338796509636773|
2022-01-04 17:52:05.664 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 920 | loss : 0.012709081691244375|
2022-01-04 17:52:33.828 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 940 | loss : 0.012809137587851667|
2022-01-04 17:53:02.096 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 960 | loss : 0.012309634685516357|
2022-01-04 17:53:30.418 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 980 | loss : 0.011841567681760205|
2022-01-04 17:53:58.669 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1000 | loss : 0.011714247703552247|
2022-01-04 17:54:26.799 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1020 | loss : 0.011418351940080231|
2022-01-04 17:54:55.053 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1040 | loss : 0.010853647268735445|
2022-01-04 17:55:23.196 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1060 | loss : 0.01074186181122402|
2022-01-04 17:55:51.442 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1080 | loss : 0.010562315693608037|
2022-01-04 17:56:19.668 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1100 | loss : 0.010266565843061968|
2022-01-04 17:56:47.872 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1120 | loss : 0.010358069624219621|
2022-01-04 17:57:16.072 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1140 | loss : 0.010084628222281473|
2022-01-04 17:57:44.260 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1160 | loss : 0.009984071501370134|
2022-01-04 17:58:12.490 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1180 | loss : 0.00942967382528014|
2022-01-04 17:58:40.692 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1200 | loss : 0.009304036299387614|
2022-01-04 17:59:08.913 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1220 | loss : 0.009380531311035157|
2022-01-04 17:59:37.185 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1240 | loss : 0.009039565824693249|
2022-01-04 18:00:05.400 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1260 | loss : 0.008842871681092277|
2022-01-04 18:00:33.615 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1280 | loss : 0.008860167860984803|
2022-01-04 18:01:01.804 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1300 | loss : 0.00885077769939716|
2022-01-04 18:01:30.035 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1320 | loss : 0.008112329425233784|
2022-01-04 18:01:58.196 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1340 | loss : 0.008268868745262944|
2022-01-04 18:02:26.446 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1360 | loss : 0.007748699889463537|
2022-01-04 18:02:54.667 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1380 | loss : 0.008023526012033657|
2022-01-04 18:03:22.900 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1400 | loss : 0.007969231605529785|
2022-01-04 18:03:51.128 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1420 | loss : 0.007622886711442975|
2022-01-04 18:04:19.350 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1440 | loss : 0.0076422956254747175|
2022-01-04 18:04:47.598 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1460 | loss : 0.007477917083322186|
2022-01-04 18:05:15.831 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1480 | loss : 0.007378899084555136|
2022-01-04 18:05:44.094 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1500 | loss : 0.007324745178222656|
2022-01-04 18:06:12.328 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1520 | loss : 0.007077155615154066|
2022-01-04 18:06:40.551 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1540 | loss : 0.006836054541847923|
2022-01-04 18:07:08.798 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1560 | loss : 0.006726953922173916|
2022-01-04 18:07:37.000 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1580 | loss : 0.006793256952792783|
2022-01-04 18:08:05.157 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1600 | loss : 0.006518691778182983|
2022-01-04 18:08:33.424 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1620 | loss : 0.006415009204252266|
2022-01-04 18:09:01.679 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1640 | loss : 0.006520784773477694|
2022-01-04 18:09:29.909 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1660 | loss : 0.0062115847346294354|
2022-01-04 18:09:58.168 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1680 | loss : 0.006042436191013881|
2022-01-04 18:10:26.401 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1700 | loss : 0.006312820771161248|
2022-01-04 18:10:54.731 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1720 | loss : 0.0062434285186057864|
2022-01-04 18:11:22.985 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1740 | loss : 0.006058838723719805|
2022-01-04 18:11:51.237 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1760 | loss : 0.005867157199166037|
2022-01-04 18:12:19.484 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1780 | loss : 0.005688091342368823|
2022-01-04 18:12:47.713 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1800 | loss : 0.005756687058342828|
2022-01-04 18:13:15.865 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1820 | loss : 0.0057033512618515515|
2022-01-04 18:13:43.960 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1840 | loss : 0.005715728842693827|
2022-01-04 18:14:12.180 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1860 | loss : 0.005664145049228463|
2022-01-04 18:14:40.390 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1880 | loss : 0.005351463277289208|
2022-01-04 18:15:08.638 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1900 | loss : 0.005414891995881733|
2022-01-04 18:15:36.857 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1920 | loss : 0.005200543502966563|
2022-01-04 18:16:05.106 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1940 | loss : 0.0052932768752894455|
2022-01-04 18:16:33.326 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1960 | loss : 0.005133984040240853|
2022-01-04 18:17:01.439 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1980 | loss : 0.005038089463205049|
2022-01-04 18:17:29.676 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2000 | loss : 0.005159913539886474|
2022-01-04 18:17:57.935 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2020 | loss : 0.0049151491410661455|
2022-01-04 18:18:26.210 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2040 | loss : 0.004899486840939989|
2022-01-04 18:18:54.394 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2060 | loss : 0.004768879436752171|
2022-01-04 18:19:22.612 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2080 | loss : 0.004731506109237671|
2022-01-04 18:19:50.843 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2100 | loss : 0.004820386341639928|
2022-01-04 18:20:19.092 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2120 | loss : 0.004660562749178905|
2022-01-04 18:20:47.201 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2140 | loss : 0.004633310799286744|
2022-01-04 18:21:15.442 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2160 | loss : 0.00450445810953776|
2022-01-04 18:21:43.547 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2180 | loss : 0.004441395593345712|
2022-01-04 18:22:11.792 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2200 | loss : 0.004438609209927645|
2022-01-04 18:22:40.045 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2220 | loss : 0.004350025159818632|
2022-01-04 18:23:08.189 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2240 | loss : 0.004227625897952489|
2022-01-04 18:23:36.437 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2260 | loss : 0.004251850600791188|
2022-01-04 18:24:04.706 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2280 | loss : 0.004298530126872815|
2022-01-04 18:24:32.949 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2300 | loss : 0.00412157100179921|
2022-01-04 18:25:01.226 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2320 | loss : 0.00427708338046896|
