2021-12-27 16:06:23.648 | INFO     | __main__:<module>:76 - | start training .... |
2021-12-27 16:09:24.640 | INFO     | __main__:<module>:106 - | epoch : 0 | training done |
2021-12-27 16:09:47.054 | CRITICAL | __main__:<module>:132 - | epoch : 0 | best_val_dice_score : 0.8743069899414472 |
2021-12-27 16:12:47.037 | INFO     | __main__:<module>:106 - | epoch : 1 | training done |
2021-12-27 16:13:09.466 | CRITICAL | __main__:<module>:132 - | epoch : 1 | best_val_dice_score : 0.8809629158127956 |
2021-12-27 16:16:10.606 | INFO     | __main__:<module>:106 - | epoch : 2 | training done |
2021-12-27 16:16:33.797 | CRITICAL | __main__:<module>:132 - | epoch : 2 | best_val_dice_score : 0.8892797562634837 |
2021-12-27 16:19:33.526 | INFO     | __main__:<module>:106 - | epoch : 3 | training done |
2021-12-27 16:19:58.084 | CRITICAL | __main__:<module>:132 - | epoch : 3 | best_val_dice_score : 0.9002103828507111 |
2021-12-27 16:22:58.515 | INFO     | __main__:<module>:106 - | epoch : 4 | training done |
2021-12-27 16:23:20.781 | CRITICAL | __main__:<module>:132 - | epoch : 4 | best_val_dice_score : 0.9017893134175431 |
2021-12-27 16:26:20.537 | INFO     | __main__:<module>:106 - | epoch : 5 | training done |
2021-12-27 16:26:45.534 | INFO     | __main__:<module>:135 - | epoch : 5 | val done |
2021-12-27 16:29:46.801 | INFO     | __main__:<module>:106 - | epoch : 6 | training done |
2021-12-27 16:30:10.654 | CRITICAL | __main__:<module>:132 - | epoch : 6 | best_val_dice_score : 0.9140194263438643 |
2021-12-27 16:33:10.781 | INFO     | __main__:<module>:106 - | epoch : 7 | training done |
2021-12-27 16:33:32.798 | INFO     | __main__:<module>:135 - | epoch : 7 | val done |
2021-12-27 16:36:32.494 | INFO     | __main__:<module>:106 - | epoch : 8 | training done |
2021-12-27 16:36:55.720 | INFO     | __main__:<module>:135 - | epoch : 8 | val done |
2021-12-27 16:39:55.120 | INFO     | __main__:<module>:106 - | epoch : 9 | training done |
2021-12-27 16:40:19.558 | INFO     | __main__:<module>:135 - | epoch : 9 | val done |
