2022-01-03 01:25:24.926 | INFO     | __main__:<module>:80 - | start training .... |
2022-01-03 01:28:45.594 | INFO     | __main__:<module>:108 - | epoch : 0 | training done |
2022-01-03 01:28:53.216 | CRITICAL | __main__:<module>:130 - | epoch : 0 | best_val_dice_score : 0.9151257822013643 |
2022-01-03 01:32:16.617 | INFO     | __main__:<module>:108 - | epoch : 1 | training done |
2022-01-03 01:32:23.883 | CRITICAL | __main__:<module>:130 - | epoch : 1 | best_val_dice_score : 0.9198470524553679 |
2022-01-03 01:35:49.376 | INFO     | __main__:<module>:108 - | epoch : 2 | training done |
2022-01-03 01:35:55.078 | CRITICAL | __main__:<module>:130 - | epoch : 2 | best_val_dice_score : 0.929399236241148 |
2022-01-03 01:39:16.896 | INFO     | __main__:<module>:108 - | epoch : 3 | training done |
2022-01-03 01:39:23.608 | INFO     | __main__:<module>:133 - | epoch : 3 | val done |
2022-01-03 01:42:45.555 | INFO     | __main__:<module>:108 - | epoch : 4 | training done |
2022-01-03 01:42:52.771 | INFO     | __main__:<module>:133 - | epoch : 4 | val done |
2022-01-03 01:46:12.952 | INFO     | __main__:<module>:108 - | epoch : 5 | training done |
2022-01-03 01:46:18.834 | INFO     | __main__:<module>:133 - | epoch : 5 | val done |
2022-01-03 01:49:38.609 | INFO     | __main__:<module>:108 - | epoch : 6 | training done |
2022-01-03 01:49:44.773 | CRITICAL | __main__:<module>:130 - | epoch : 6 | best_val_dice_score : 0.9370250423321592 |
2022-01-03 01:53:05.448 | INFO     | __main__:<module>:108 - | epoch : 7 | training done |
2022-01-03 01:53:11.554 | INFO     | __main__:<module>:133 - | epoch : 7 | val done |
2022-01-03 01:56:38.170 | INFO     | __main__:<module>:108 - | epoch : 8 | training done |
2022-01-03 01:56:44.268 | INFO     | __main__:<module>:133 - | epoch : 8 | val done |
2022-01-03 02:00:07.333 | INFO     | __main__:<module>:108 - | epoch : 9 | training done |
2022-01-03 02:00:14.621 | INFO     | __main__:<module>:133 - | epoch : 9 | val done |
2022-01-03 02:03:39.109 | INFO     | __main__:<module>:108 - | epoch : 10 | training done |
2022-01-03 02:03:45.223 | INFO     | __main__:<module>:133 - | epoch : 10 | val done |
2022-01-03 02:07:09.129 | INFO     | __main__:<module>:108 - | epoch : 11 | training done |
2022-01-03 02:07:14.727 | INFO     | __main__:<module>:133 - | epoch : 11 | val done |
2022-01-03 02:10:36.274 | INFO     | __main__:<module>:108 - | epoch : 12 | training done |
2022-01-03 02:10:42.246 | INFO     | __main__:<module>:133 - | epoch : 12 | val done |
2022-01-03 02:14:07.122 | INFO     | __main__:<module>:108 - | epoch : 13 | training done |
2022-01-03 02:14:13.365 | INFO     | __main__:<module>:133 - | epoch : 13 | val done |
2022-01-03 02:17:37.657 | INFO     | __main__:<module>:108 - | epoch : 14 | training done |
2022-01-03 02:17:44.519 | INFO     | __main__:<module>:133 - | epoch : 14 | val done |
2022-01-03 02:21:10.413 | INFO     | __main__:<module>:108 - | epoch : 15 | training done |
2022-01-03 02:21:17.183 | INFO     | __main__:<module>:133 - | epoch : 15 | val done |
2022-01-03 02:24:43.865 | INFO     | __main__:<module>:108 - | epoch : 16 | training done |
2022-01-03 02:24:51.738 | INFO     | __main__:<module>:133 - | epoch : 16 | val done |
2022-01-03 02:28:13.568 | INFO     | __main__:<module>:108 - | epoch : 17 | training done |
2022-01-03 02:28:20.146 | INFO     | __main__:<module>:133 - | epoch : 17 | val done |
2022-01-03 02:31:42.107 | INFO     | __main__:<module>:108 - | epoch : 18 | training done |
2022-01-03 02:31:49.177 | INFO     | __main__:<module>:133 - | epoch : 18 | val done |
2022-01-03 02:35:09.368 | INFO     | __main__:<module>:108 - | epoch : 19 | training done |
2022-01-03 02:35:14.794 | INFO     | __main__:<module>:133 - | epoch : 19 | val done |
2022-01-03 02:38:36.989 | INFO     | __main__:<module>:108 - | epoch : 20 | training done |
2022-01-03 02:38:43.173 | CRITICAL | __main__:<module>:130 - | epoch : 20 | best_val_dice_score : 0.9407902655645626 |
2022-01-03 02:42:07.375 | INFO     | __main__:<module>:108 - | epoch : 21 | training done |
2022-01-03 02:42:13.763 | INFO     | __main__:<module>:133 - | epoch : 21 | val done |
2022-01-03 02:45:35.779 | INFO     | __main__:<module>:108 - | epoch : 22 | training done |
2022-01-03 02:45:43.557 | INFO     | __main__:<module>:133 - | epoch : 22 | val done |
2022-01-03 02:49:05.559 | INFO     | __main__:<module>:108 - | epoch : 23 | training done |
2022-01-03 02:49:11.117 | INFO     | __main__:<module>:133 - | epoch : 23 | val done |
2022-01-03 02:52:34.454 | INFO     | __main__:<module>:108 - | epoch : 24 | training done |
2022-01-03 02:52:42.061 | INFO     | __main__:<module>:133 - | epoch : 24 | val done |
2022-01-03 02:56:06.634 | INFO     | __main__:<module>:108 - | epoch : 25 | training done |
2022-01-03 02:56:14.343 | INFO     | __main__:<module>:133 - | epoch : 25 | val done |
2022-01-03 02:59:38.074 | INFO     | __main__:<module>:108 - | epoch : 26 | training done |
2022-01-03 02:59:45.360 | INFO     | __main__:<module>:133 - | epoch : 26 | val done |
2022-01-03 03:03:07.934 | INFO     | __main__:<module>:108 - | epoch : 27 | training done |
2022-01-03 03:03:16.049 | INFO     | __main__:<module>:133 - | epoch : 27 | val done |
2022-01-03 03:06:36.776 | INFO     | __main__:<module>:108 - | epoch : 28 | training done |
2022-01-03 03:06:43.255 | INFO     | __main__:<module>:133 - | epoch : 28 | val done |
2022-01-03 03:10:02.829 | INFO     | __main__:<module>:108 - | epoch : 29 | training done |
2022-01-03 03:10:08.624 | INFO     | __main__:<module>:133 - | epoch : 29 | val done |
2022-01-03 03:13:31.249 | INFO     | __main__:<module>:108 - | epoch : 30 | training done |
2022-01-03 03:13:37.208 | INFO     | __main__:<module>:133 - | epoch : 30 | val done |
2022-01-03 03:17:00.455 | INFO     | __main__:<module>:108 - | epoch : 31 | training done |
2022-01-03 03:17:06.706 | INFO     | __main__:<module>:133 - | epoch : 31 | val done |
2022-01-03 03:20:29.562 | INFO     | __main__:<module>:108 - | epoch : 32 | training done |
2022-01-03 03:20:38.343 | INFO     | __main__:<module>:133 - | epoch : 32 | val done |
2022-01-03 03:23:59.962 | INFO     | __main__:<module>:108 - | epoch : 33 | training done |
2022-01-03 03:24:06.531 | INFO     | __main__:<module>:133 - | epoch : 33 | val done |
2022-01-03 03:27:27.778 | INFO     | __main__:<module>:108 - | epoch : 34 | training done |
