2021-12-26 16:18:41.323 | INFO     | __main__:<module>:55 - | start training .... |
2021-12-26 16:19:37.820 | INFO     | __main__:<module>:85 - | epoch : 0 | training done |
2021-12-26 16:19:41.049 | CRITICAL | __main__:<module>:111 - | epoch : 0 | best_val_dice_score : 0.6322433828785557 |
2021-12-26 16:20:38.516 | INFO     | __main__:<module>:85 - | epoch : 1 | training done |
2021-12-26 16:20:41.793 | CRITICAL | __main__:<module>:111 - | epoch : 1 | best_val_dice_score : 0.6361886934121987 |
2021-12-26 16:21:38.518 | INFO     | __main__:<module>:85 - | epoch : 2 | training done |
2021-12-26 16:21:41.751 | INFO     | __main__:<module>:114 - | epoch : 2 | val done |
2021-12-26 16:22:38.186 | INFO     | __main__:<module>:85 - | epoch : 3 | training done |
2021-12-26 16:22:41.436 | CRITICAL | __main__:<module>:111 - | epoch : 3 | best_val_dice_score : 0.6480730412761843 |
2021-12-26 16:23:38.089 | INFO     | __main__:<module>:85 - | epoch : 4 | training done |
2021-12-26 16:23:41.345 | INFO     | __main__:<module>:114 - | epoch : 4 | val done |
2021-12-26 16:24:38.540 | INFO     | __main__:<module>:85 - | epoch : 5 | training done |
2021-12-26 16:24:41.811 | CRITICAL | __main__:<module>:111 - | epoch : 5 | best_val_dice_score : 0.652682227761117 |
2021-12-26 16:25:38.504 | INFO     | __main__:<module>:85 - | epoch : 6 | training done |
2021-12-26 16:25:41.786 | CRITICAL | __main__:<module>:111 - | epoch : 6 | best_val_dice_score : 0.6597378406921443 |
2021-12-26 16:26:38.412 | INFO     | __main__:<module>:85 - | epoch : 7 | training done |
2021-12-26 16:26:41.646 | CRITICAL | __main__:<module>:111 - | epoch : 7 | best_val_dice_score : 0.672018539925838 |
2021-12-26 16:27:38.324 | INFO     | __main__:<module>:85 - | epoch : 8 | training done |
2021-12-26 16:27:41.628 | INFO     | __main__:<module>:114 - | epoch : 8 | val done |
2021-12-26 16:28:38.046 | INFO     | __main__:<module>:85 - | epoch : 9 | training done |
2021-12-26 16:28:41.312 | INFO     | __main__:<module>:114 - | epoch : 9 | val done |
2021-12-26 16:29:39.298 | INFO     | __main__:<module>:85 - | epoch : 10 | training done |
2021-12-26 16:29:42.580 | INFO     | __main__:<module>:114 - | epoch : 10 | val done |
2021-12-26 16:30:39.024 | INFO     | __main__:<module>:85 - | epoch : 11 | training done |
2021-12-26 16:30:42.258 | CRITICAL | __main__:<module>:111 - | epoch : 11 | best_val_dice_score : 0.7140294024832835 |
2021-12-26 16:31:38.934 | INFO     | __main__:<module>:85 - | epoch : 12 | training done |
2021-12-26 16:31:42.214 | INFO     | __main__:<module>:114 - | epoch : 12 | val done |
2021-12-26 16:32:38.641 | INFO     | __main__:<module>:85 - | epoch : 13 | training done |
2021-12-26 16:32:41.956 | INFO     | __main__:<module>:114 - | epoch : 13 | val done |
2021-12-26 16:33:38.387 | INFO     | __main__:<module>:85 - | epoch : 14 | training done |
2021-12-26 16:33:41.655 | CRITICAL | __main__:<module>:111 - | epoch : 14 | best_val_dice_score : 0.7360552720356418 |
2021-12-26 16:34:39.456 | INFO     | __main__:<module>:85 - | epoch : 15 | training done |
2021-12-26 16:34:42.977 | CRITICAL | __main__:<module>:111 - | epoch : 15 | best_val_dice_score : 0.7439568648991579 |
2021-12-26 16:35:41.080 | INFO     | __main__:<module>:85 - | epoch : 16 | training done |
2021-12-26 16:35:44.388 | CRITICAL | __main__:<module>:111 - | epoch : 16 | best_val_dice_score : 0.762559420990391 |
2021-12-26 16:36:41.078 | INFO     | __main__:<module>:85 - | epoch : 17 | training done |
2021-12-26 16:36:44.558 | CRITICAL | __main__:<module>:111 - | epoch : 17 | best_val_dice_score : 0.7702834847347402 |
2021-12-26 16:38:47.952 | INFO     | __main__:<module>:85 - | epoch : 18 | training done |
2021-12-26 16:38:52.683 | INFO     | __main__:<module>:114 - | epoch : 18 | val done |
2021-12-26 16:40:53.609 | INFO     | __main__:<module>:85 - | epoch : 19 | training done |
2021-12-26 16:40:58.454 | CRITICAL | __main__:<module>:111 - | epoch : 19 | best_val_dice_score : 0.7803373996288472 |
2021-12-26 16:42:58.659 | INFO     | __main__:<module>:85 - | epoch : 20 | training done |
2021-12-26 16:43:03.463 | INFO     | __main__:<module>:114 - | epoch : 20 | val done |
2021-12-26 16:45:03.785 | INFO     | __main__:<module>:85 - | epoch : 21 | training done |
2021-12-26 16:45:08.621 | INFO     | __main__:<module>:114 - | epoch : 21 | val done |
