2022-01-02 02:02:21.318 | INFO     | __main__:<module>:83 - | start training .... | current model srm_b2_pixel |
2022-01-02 02:03:38.160 | INFO     | __main__:<module>:111 - | epoch : 0 | training done |
2022-01-02 02:03:57.124 | INFO     | __main__:<module>:240 - | epoch : 0 | CVC-300 : 0.7492769435182668 | CVC-ClinicDB : 0.8169552714060271 | CVC-ColonDB : 0.7432585105311581 | ETIS-LaribPolypDB : 0.7183562068779946 | Kvasir : 0.8631850967859793 |
2022-01-02 02:03:57.125 | CRITICAL | __main__:<module>:241 - | epoch : 0 | best_val_dice_score : 0.7782064058238852 |
2022-01-02 02:05:13.712 | INFO     | __main__:<module>:111 - | epoch : 1 | training done |
2022-01-02 02:05:32.714 | INFO     | __main__:<module>:240 - | epoch : 1 | CVC-300 : 0.7269692603437312 | CVC-ClinicDB : 0.8457562522369215 | CVC-ColonDB : 0.78003989313716 | ETIS-LaribPolypDB : 0.7403937302587709 | Kvasir : 0.8857807897998142 |
2022-01-02 02:05:32.715 | CRITICAL | __main__:<module>:241 - | epoch : 1 | best_val_dice_score : 0.7957879851552796 |
2022-01-02 02:06:50.733 | INFO     | __main__:<module>:111 - | epoch : 2 | training done |
2022-01-02 02:07:08.458 | INFO     | __main__:<module>:240 - | epoch : 2 | CVC-300 : 0.8749509291615546 | CVC-ClinicDB : 0.9034219423668401 | CVC-ColonDB : 0.8350551089510688 | ETIS-LaribPolypDB : 0.7996320605369237 | Kvasir : 0.8942344173114815 |
2022-01-02 02:07:08.458 | CRITICAL | __main__:<module>:241 - | epoch : 2 | best_val_dice_score : 0.8614588916655738 |
2022-01-02 02:08:30.854 | INFO     | __main__:<module>:111 - | epoch : 3 | training done |
2022-01-02 02:08:46.941 | INFO     | __main__:<module>:240 - | epoch : 3 | CVC-300 : 0.9086446794324088 | CVC-ClinicDB : 0.9117029048331162 | CVC-ColonDB : 0.8289506130555006 | ETIS-LaribPolypDB : 0.7923651046197332 | Kvasir : 0.9136898489918418 |
