2022-01-01 22:34:27.112 | INFO     | __main__:<module>:83 - | start training .... | current model feilong_conv_b2 |
2022-01-01 22:35:34.324 | INFO     | __main__:<module>:111 - | epoch : 0 | training done |
2022-01-01 22:35:51.689 | INFO     | __main__:<module>:240 - | epoch : 0 | CVC-300 : 0.9159316711942833 | CVC-ClinicDB : 0.9097003706152316 | CVC-ColonDB : 0.8295416238897039 | ETIS-LaribPolypDB : 0.8338308024779337 | Kvasir : 0.9054264364693443 |
2022-01-01 22:35:51.690 | CRITICAL | __main__:<module>:241 - | epoch : 0 | best_val_dice_score : 0.8788861809292994 |
2022-01-01 22:36:59.280 | INFO     | __main__:<module>:111 - | epoch : 1 | training done |
2022-01-01 22:37:16.383 | INFO     | __main__:<module>:244 - | epoch : 1 | val done |
2022-01-01 22:38:24.112 | INFO     | __main__:<module>:111 - | epoch : 2 | training done |
2022-01-01 22:38:41.619 | INFO     | __main__:<module>:240 - | epoch : 2 | CVC-300 : 0.8987769087253666 | CVC-ClinicDB : 0.9321522635934822 | CVC-ColonDB : 0.8463632182054303 | ETIS-LaribPolypDB : 0.8628638181169263 | Kvasir : 0.9332505227024759 |
2022-01-01 22:38:41.620 | CRITICAL | __main__:<module>:241 - | epoch : 2 | best_val_dice_score : 0.8946813462687363 |
2022-01-01 22:39:49.408 | INFO     | __main__:<module>:111 - | epoch : 3 | training done |
2022-01-01 22:40:06.525 | INFO     | __main__:<module>:240 - | epoch : 3 | CVC-300 : 0.9141096673935627 | CVC-ClinicDB : 0.918177007574433 | CVC-ColonDB : 0.8577475637075812 | ETIS-LaribPolypDB : 0.8487787979437136 | Kvasir : 0.939867814554357 |
2022-01-01 22:40:06.525 | CRITICAL | __main__:<module>:241 - | epoch : 3 | best_val_dice_score : 0.8957361702347295 |
2022-01-01 22:41:15.988 | INFO     | __main__:<module>:111 - | epoch : 4 | training done |
2022-01-01 22:41:32.284 | INFO     | __main__:<module>:244 - | epoch : 4 | val done |
2022-01-01 22:42:43.144 | INFO     | __main__:<module>:111 - | epoch : 5 | training done |
2022-01-01 22:42:59.439 | INFO     | __main__:<module>:240 - | epoch : 5 | CVC-300 : 0.923999151501316 | CVC-ClinicDB : 0.9525572407051521 | CVC-ColonDB : 0.8755538127061282 | ETIS-LaribPolypDB : 0.8538360981489737 | Kvasir : 0.9312140236046732 |
2022-01-01 22:42:59.440 | CRITICAL | __main__:<module>:241 - | epoch : 5 | best_val_dice_score : 0.9074320653332487 |
2022-01-01 22:44:12.769 | INFO     | __main__:<module>:111 - | epoch : 6 | training done |
2022-01-01 22:44:28.508 | INFO     | __main__:<module>:244 - | epoch : 6 | val done |
2022-01-01 22:45:43.764 | INFO     | __main__:<module>:111 - | epoch : 7 | training done |
2022-01-01 22:45:59.412 | INFO     | __main__:<module>:240 - | epoch : 7 | CVC-300 : 0.9280991757136431 | CVC-ClinicDB : 0.9540743613590725 | CVC-ColonDB : 0.8673548757803786 | ETIS-LaribPolypDB : 0.8743114322157054 | Kvasir : 0.9389027185411396 |
2022-01-01 22:45:59.412 | CRITICAL | __main__:<module>:241 - | epoch : 7 | best_val_dice_score : 0.9125485127219879 |
2022-01-01 22:47:15.663 | INFO     | __main__:<module>:111 - | epoch : 8 | training done |
2022-01-01 22:47:31.783 | INFO     | __main__:<module>:240 - | epoch : 8 | CVC-300 : 0.9342819671174041 | CVC-ClinicDB : 0.9479300626998968 | CVC-ColonDB : 0.8719787675362088 | ETIS-LaribPolypDB : 0.8779623670776846 | Kvasir : 0.9477974349577146 |
2022-01-01 22:47:31.784 | CRITICAL | __main__:<module>:241 - | epoch : 8 | best_val_dice_score : 0.9159901198777819 |
2022-01-01 22:48:45.415 | INFO     | __main__:<module>:111 - | epoch : 9 | training done |
2022-01-01 22:49:02.212 | INFO     | __main__:<module>:244 - | epoch : 9 | val done |
