2022-01-02 13:13:27.943 | INFO     | __main__:<module>:83 - | start training .... | current model feilong_conv_b2 |
2022-01-02 13:15:19.564 | INFO     | __main__:<module>:83 - | start training .... | current model feilong_conv_b2 |
2022-01-02 13:17:10.393 | INFO     | __main__:<module>:111 - | epoch : 0 | training done |
2022-01-02 13:17:30.738 | INFO     | __main__:<module>:240 - | epoch : 0 | CVC-300 : 0.8638330151182643 | CVC-ClinicDB : 0.8883535136509442 | CVC-ColonDB : 0.8111049935639554 | ETIS-LaribPolypDB : 0.8077021682449355 | Kvasir : 0.8898913271024357 |
2022-01-02 13:17:30.738 | CRITICAL | __main__:<module>:241 - | epoch : 0 | best_val_dice_score : 0.8521770035361069 |
2022-01-02 13:19:19.033 | INFO     | __main__:<module>:111 - | epoch : 1 | training done |
2022-01-02 13:19:36.087 | INFO     | __main__:<module>:240 - | epoch : 1 | CVC-300 : 0.858611373989526 | CVC-ClinicDB : 0.9104174927445106 | CVC-ColonDB : 0.8492381847999811 | ETIS-LaribPolypDB : 0.8048020515300407 | Kvasir : 0.9292432808349129 |
2022-01-02 13:19:36.087 | CRITICAL | __main__:<module>:241 - | epoch : 1 | best_val_dice_score : 0.8704624767797944 |
2022-01-02 13:20:44.274 | INFO     | __main__:<module>:111 - | epoch : 2 | training done |
2022-01-02 13:21:01.178 | INFO     | __main__:<module>:240 - | epoch : 2 | CVC-300 : 0.9366946937783636 | CVC-ClinicDB : 0.9277147890173729 | CVC-ColonDB : 0.848399969481215 | ETIS-LaribPolypDB : 0.8755270180669522 | Kvasir : 0.9141435743415683 |
2022-01-02 13:21:01.179 | CRITICAL | __main__:<module>:241 - | epoch : 2 | best_val_dice_score : 0.9004960089370945 |
2022-01-02 13:22:09.078 | INFO     | __main__:<module>:111 - | epoch : 3 | training done |
2022-01-02 13:22:26.121 | INFO     | __main__:<module>:244 - | epoch : 3 | val done |
2022-01-02 13:23:33.759 | INFO     | __main__:<module>:111 - | epoch : 4 | training done |
2022-01-02 13:23:50.791 | INFO     | __main__:<module>:240 - | epoch : 4 | CVC-300 : 0.9222538030332761 | CVC-ClinicDB : 0.9468170369018016 | CVC-ColonDB : 0.8700209809725861 | ETIS-LaribPolypDB : 0.8623511058872714 | Kvasir : 0.9424221360839933 |
2022-01-02 13:23:50.792 | CRITICAL | __main__:<module>:241 - | epoch : 4 | best_val_dice_score : 0.9087730125757856 |
2022-01-02 13:24:58.636 | INFO     | __main__:<module>:111 - | epoch : 5 | training done |
2022-01-02 13:25:15.465 | INFO     | __main__:<module>:244 - | epoch : 5 | val done |
2022-01-02 13:26:23.208 | INFO     | __main__:<module>:111 - | epoch : 6 | training done |
2022-01-02 13:26:40.262 | INFO     | __main__:<module>:244 - | epoch : 6 | val done |
2022-01-02 13:27:47.505 | INFO     | __main__:<module>:111 - | epoch : 7 | training done |
2022-01-02 13:28:04.518 | INFO     | __main__:<module>:244 - | epoch : 7 | val done |
2022-01-02 13:29:11.804 | INFO     | __main__:<module>:111 - | epoch : 8 | training done |
2022-01-02 13:29:28.781 | INFO     | __main__:<module>:244 - | epoch : 8 | val done |
2022-01-02 13:30:36.174 | INFO     | __main__:<module>:111 - | epoch : 9 | training done |
2022-01-02 13:30:53.156 | INFO     | __main__:<module>:240 - | epoch : 9 | CVC-300 : 0.9227362049682595 | CVC-ClinicDB : 0.9566625665322691 | CVC-ColonDB : 0.8593338599014068 | ETIS-LaribPolypDB : 0.8733621084227323 | Kvasir : 0.9338829691343643 |
2022-01-02 13:30:53.157 | CRITICAL | __main__:<module>:241 - | epoch : 9 | best_val_dice_score : 0.9091955417918063 |
2022-01-02 13:32:01.167 | INFO     | __main__:<module>:111 - | epoch : 10 | training done |
2022-01-02 13:32:18.010 | INFO     | __main__:<module>:240 - | epoch : 10 | CVC-300 : 0.9180105433823398 | CVC-ClinicDB : 0.9607965534251295 | CVC-ColonDB : 0.8633333158744253 | ETIS-LaribPolypDB : 0.8739867580935965 | Kvasir : 0.9384952623685054 |
2022-01-02 13:32:18.010 | CRITICAL | __main__:<module>:241 - | epoch : 10 | best_val_dice_score : 0.9109244866287993 |
2022-01-02 13:33:25.793 | INFO     | __main__:<module>:111 - | epoch : 11 | training done |
2022-01-02 13:33:42.854 | INFO     | __main__:<module>:240 - | epoch : 11 | CVC-300 : 0.9237350875327376 | CVC-ClinicDB : 0.9633404356354283 | CVC-ColonDB : 0.8648669544189577 | ETIS-LaribPolypDB : 0.873885939379294 | Kvasir : 0.9399472997384267 |
2022-01-02 13:33:42.855 | CRITICAL | __main__:<module>:241 - | epoch : 11 | best_val_dice_score : 0.9131551433409688 |
2022-01-02 13:34:50.826 | INFO     | __main__:<module>:111 - | epoch : 12 | training done |
2022-01-02 13:35:07.953 | INFO     | __main__:<module>:240 - | epoch : 12 | CVC-300 : 0.9248091120911307 | CVC-ClinicDB : 0.9551865508456159 | CVC-ColonDB : 0.880974027651742 | ETIS-LaribPolypDB : 0.8855324387214419 | Kvasir : 0.9460513835397901 |
2022-01-02 13:35:07.954 | CRITICAL | __main__:<module>:241 - | epoch : 12 | best_val_dice_score : 0.9185107025699442 |
2022-01-02 13:36:16.035 | INFO     | __main__:<module>:111 - | epoch : 13 | training done |
2022-01-02 13:36:32.686 | INFO     | __main__:<module>:244 - | epoch : 13 | val done |
2022-01-02 13:37:40.146 | INFO     | __main__:<module>:111 - | epoch : 14 | training done |
2022-01-02 13:37:57.019 | INFO     | __main__:<module>:244 - | epoch : 14 | val done |
2022-01-02 13:39:04.386 | INFO     | __main__:<module>:111 - | epoch : 15 | training done |
2022-01-02 13:39:21.414 | INFO     | __main__:<module>:244 - | epoch : 15 | val done |
2022-01-02 13:40:28.769 | INFO     | __main__:<module>:111 - | epoch : 16 | training done |
2022-01-02 13:40:45.698 | INFO     | __main__:<module>:244 - | epoch : 16 | val done |
2022-01-02 13:41:53.442 | INFO     | __main__:<module>:111 - | epoch : 17 | training done |
2022-01-02 13:42:10.336 | INFO     | __main__:<module>:244 - | epoch : 17 | val done |
2022-01-02 13:43:17.707 | INFO     | __main__:<module>:111 - | epoch : 18 | training done |
2022-01-02 13:43:34.598 | INFO     | __main__:<module>:240 - | epoch : 18 | CVC-300 : 0.9366058611834044 | CVC-ClinicDB : 0.9580010671134467 | CVC-ColonDB : 0.8922757878306614 | ETIS-LaribPolypDB : 0.90292933438945 | Kvasir : 0.9489662021781877 |
2022-01-02 13:43:34.599 | CRITICAL | __main__:<module>:241 - | epoch : 18 | best_val_dice_score : 0.9277556505390299 |
2022-01-02 13:44:42.583 | INFO     | __main__:<module>:111 - | epoch : 19 | training done |
2022-01-02 13:44:59.538 | INFO     | __main__:<module>:244 - | epoch : 19 | val done |
2022-01-02 13:46:06.873 | INFO     | __main__:<module>:111 - | epoch : 20 | training done |
2022-01-02 13:46:23.826 | INFO     | __main__:<module>:244 - | epoch : 20 | val done |
2022-01-02 13:47:31.115 | INFO     | __main__:<module>:111 - | epoch : 21 | training done |
2022-01-02 13:47:47.910 | INFO     | __main__:<module>:244 - | epoch : 21 | val done |
2022-01-02 13:48:55.542 | INFO     | __main__:<module>:111 - | epoch : 22 | training done |
2022-01-02 13:49:12.410 | INFO     | __main__:<module>:244 - | epoch : 22 | val done |
2022-01-02 13:50:19.911 | INFO     | __main__:<module>:111 - | epoch : 23 | training done |
2022-01-02 13:50:36.865 | INFO     | __main__:<module>:244 - | epoch : 23 | val done |
2022-01-02 13:51:44.215 | INFO     | __main__:<module>:111 - | epoch : 24 | training done |
2022-01-02 13:52:00.987 | INFO     | __main__:<module>:244 - | epoch : 24 | val done |
2022-01-02 13:53:08.665 | INFO     | __main__:<module>:111 - | epoch : 25 | training done |
2022-01-02 13:53:25.606 | INFO     | __main__:<module>:244 - | epoch : 25 | val done |
2022-01-02 13:54:33.092 | INFO     | __main__:<module>:111 - | epoch : 26 | training done |
2022-01-02 13:54:49.940 | INFO     | __main__:<module>:244 - | epoch : 26 | val done |
2022-01-02 13:55:57.206 | INFO     | __main__:<module>:111 - | epoch : 27 | training done |
2022-01-02 13:56:14.105 | INFO     | __main__:<module>:244 - | epoch : 27 | val done |
2022-01-02 13:57:21.754 | INFO     | __main__:<module>:111 - | epoch : 28 | training done |
2022-01-02 13:57:38.656 | INFO     | __main__:<module>:244 - | epoch : 28 | val done |
2022-01-02 13:58:45.951 | INFO     | __main__:<module>:111 - | epoch : 29 | training done |
2022-01-02 13:59:02.762 | INFO     | __main__:<module>:244 - | epoch : 29 | val done |
2022-01-02 14:00:10.343 | INFO     | __main__:<module>:111 - | epoch : 30 | training done |
2022-01-02 14:00:27.070 | INFO     | __main__:<module>:244 - | epoch : 30 | val done |
2022-01-02 14:01:34.670 | INFO     | __main__:<module>:111 - | epoch : 31 | training done |
2022-01-02 14:01:51.538 | INFO     | __main__:<module>:244 - | epoch : 31 | val done |
2022-01-02 14:02:58.889 | INFO     | __main__:<module>:111 - | epoch : 32 | training done |
2022-01-02 14:03:15.776 | INFO     | __main__:<module>:244 - | epoch : 32 | val done |
2022-01-02 14:04:23.303 | INFO     | __main__:<module>:111 - | epoch : 33 | training done |
2022-01-02 14:04:40.261 | INFO     | __main__:<module>:244 - | epoch : 33 | val done |
2022-01-02 14:05:47.806 | INFO     | __main__:<module>:111 - | epoch : 34 | training done |
2022-01-02 14:06:04.759 | INFO     | __main__:<module>:244 - | epoch : 34 | val done |
2022-01-02 14:07:12.311 | INFO     | __main__:<module>:111 - | epoch : 35 | training done |
2022-01-02 14:07:29.096 | INFO     | __main__:<module>:244 - | epoch : 35 | val done |
2022-01-02 14:08:36.479 | INFO     | __main__:<module>:111 - | epoch : 36 | training done |
2022-01-02 14:08:53.307 | INFO     | __main__:<module>:244 - | epoch : 36 | val done |
2022-01-02 14:10:00.687 | INFO     | __main__:<module>:111 - | epoch : 37 | training done |
2022-01-02 14:10:17.744 | INFO     | __main__:<module>:244 - | epoch : 37 | val done |
2022-01-02 14:11:25.132 | INFO     | __main__:<module>:111 - | epoch : 38 | training done |
2022-01-02 14:11:42.024 | INFO     | __main__:<module>:244 - | epoch : 38 | val done |
2022-01-02 14:12:49.669 | INFO     | __main__:<module>:111 - | epoch : 39 | training done |
2022-01-02 14:13:06.529 | INFO     | __main__:<module>:244 - | epoch : 39 | val done |
2022-01-02 14:14:14.140 | INFO     | __main__:<module>:111 - | epoch : 40 | training done |
2022-01-02 14:14:30.923 | INFO     | __main__:<module>:244 - | epoch : 40 | val done |
2022-01-02 14:15:38.581 | INFO     | __main__:<module>:111 - | epoch : 41 | training done |
2022-01-02 14:15:55.388 | INFO     | __main__:<module>:244 - | epoch : 41 | val done |
