2022-01-01 20:43:03.184 | INFO     | __main__:<module>:83 - | start training .... | current model feilong_sct_b2 |
2022-01-01 20:44:09.579 | INFO     | __main__:<module>:111 - | epoch : 0 | training done |
2022-01-01 20:44:25.615 | INFO     | __main__:<module>:240 - | epoch : 0 | CVC-300 : 0.8644437999164895 | CVC-ClinicDB : 0.8668558674948634 | CVC-ColonDB : 0.8298220687421819 | ETIS-LaribPolypDB : 0.7927001502277897 | Kvasir : 0.9125621020936783 |
2022-01-01 20:44:25.615 | CRITICAL | __main__:<module>:241 - | epoch : 0 | best_val_dice_score : 0.8532767976950005 |
2022-01-01 20:45:30.461 | INFO     | __main__:<module>:111 - | epoch : 1 | training done |
2022-01-01 20:45:46.707 | INFO     | __main__:<module>:244 - | epoch : 1 | val done |
2022-01-01 20:46:50.268 | INFO     | __main__:<module>:111 - | epoch : 2 | training done |
2022-01-01 20:47:06.716 | INFO     | __main__:<module>:240 - | epoch : 2 | CVC-300 : 0.906408047769338 | CVC-ClinicDB : 0.9362880271279423 | CVC-ColonDB : 0.8354873798912346 | ETIS-LaribPolypDB : 0.8495876929182825 | Kvasir : 0.9324710122051543 |
2022-01-01 20:47:06.716 | CRITICAL | __main__:<module>:241 - | epoch : 2 | best_val_dice_score : 0.8920484319823903 |
2022-01-01 20:48:10.141 | INFO     | __main__:<module>:111 - | epoch : 3 | training done |
2022-01-01 20:48:26.367 | INFO     | __main__:<module>:240 - | epoch : 3 | CVC-300 : 0.9161701619913442 | CVC-ClinicDB : 0.9557402155702391 | CVC-ColonDB : 0.84900169018601 | ETIS-LaribPolypDB : 0.855039913395284 | Kvasir : 0.9372656000828784 |
2022-01-01 20:48:26.373 | CRITICAL | __main__:<module>:241 - | epoch : 3 | best_val_dice_score : 0.9026435162451512 |
2022-01-01 20:49:29.670 | INFO     | __main__:<module>:111 - | epoch : 4 | training done |
2022-01-01 20:49:46.011 | INFO     | __main__:<module>:240 - | epoch : 4 | CVC-300 : 0.9311437705575414 | CVC-ClinicDB : 0.9340956862198531 | CVC-ColonDB : 0.8661368312205169 | ETIS-LaribPolypDB : 0.8789010071626724 | Kvasir : 0.9323391984005838 |
2022-01-01 20:49:46.012 | CRITICAL | __main__:<module>:241 - | epoch : 4 | best_val_dice_score : 0.9085232987122336 |
2022-01-01 20:50:49.619 | INFO     | __main__:<module>:111 - | epoch : 5 | training done |
2022-01-01 20:51:06.097 | INFO     | __main__:<module>:240 - | epoch : 5 | CVC-300 : 0.9194574328982557 | CVC-ClinicDB : 0.9474584301274579 | CVC-ColonDB : 0.8654135226866497 | ETIS-LaribPolypDB : 0.8808636668778574 | Kvasir : 0.9381654860179933 |
2022-01-01 20:51:06.097 | CRITICAL | __main__:<module>:241 - | epoch : 5 | best_val_dice_score : 0.9102717077216429 |
2022-01-01 20:52:09.560 | INFO     | __main__:<module>:111 - | epoch : 6 | training done |
2022-01-01 20:52:25.899 | INFO     | __main__:<module>:244 - | epoch : 6 | val done |
2022-01-01 20:53:29.410 | INFO     | __main__:<module>:111 - | epoch : 7 | training done |
2022-01-01 20:53:45.633 | INFO     | __main__:<module>:244 - | epoch : 7 | val done |
2022-01-01 20:54:49.008 | INFO     | __main__:<module>:111 - | epoch : 8 | training done |
2022-01-01 20:55:05.202 | INFO     | __main__:<module>:244 - | epoch : 8 | val done |
2022-01-01 20:56:08.431 | INFO     | __main__:<module>:111 - | epoch : 9 | training done |
2022-01-01 20:56:24.641 | INFO     | __main__:<module>:244 - | epoch : 9 | val done |
2022-01-01 20:57:28.000 | INFO     | __main__:<module>:111 - | epoch : 10 | training done |
2022-01-01 20:57:44.242 | INFO     | __main__:<module>:240 - | epoch : 10 | CVC-300 : 0.9319450194885602 | CVC-ClinicDB : 0.9313148838244039 | CVC-ColonDB : 0.8782116905991902 | ETIS-LaribPolypDB : 0.8827690465390154 | Kvasir : 0.9367369707708153 |
2022-01-01 20:57:44.243 | CRITICAL | __main__:<module>:241 - | epoch : 10 | best_val_dice_score : 0.912195522244397 |
2022-01-01 20:58:47.819 | INFO     | __main__:<module>:111 - | epoch : 11 | training done |
2022-01-01 20:59:04.048 | INFO     | __main__:<module>:244 - | epoch : 11 | val done |
2022-01-01 21:00:07.331 | INFO     | __main__:<module>:111 - | epoch : 12 | training done |
2022-01-01 21:00:23.615 | INFO     | __main__:<module>:244 - | epoch : 12 | val done |
2022-01-01 21:01:26.830 | INFO     | __main__:<module>:111 - | epoch : 13 | training done |
2022-01-01 21:01:43.116 | INFO     | __main__:<module>:244 - | epoch : 13 | val done |
2022-01-01 21:02:46.206 | INFO     | __main__:<module>:111 - | epoch : 14 | training done |
2022-01-01 21:03:02.361 | INFO     | __main__:<module>:240 - | epoch : 14 | CVC-300 : 0.9126488796878349 | CVC-ClinicDB : 0.9583117897604219 | CVC-ColonDB : 0.8695269051547566 | ETIS-LaribPolypDB : 0.8913057385533772 | Kvasir : 0.9465249288715122 |
2022-01-01 21:03:02.362 | CRITICAL | __main__:<module>:241 - | epoch : 14 | best_val_dice_score : 0.9156636484055806 |
2022-01-01 21:04:06.082 | INFO     | __main__:<module>:111 - | epoch : 15 | training done |
2022-01-01 21:04:22.563 | INFO     | __main__:<module>:240 - | epoch : 15 | CVC-300 : 0.9280556211097701 | CVC-ClinicDB : 0.9658836946422666 | CVC-ColonDB : 0.8747690680948444 | ETIS-LaribPolypDB : 0.8724797862542423 | Kvasir : 0.9458431795068941 |
