2021-12-27 16:22:04.614 | INFO     | __main__:<module>:76 - | start training .... |
2021-12-27 16:22:40.222 | INFO     | __main__:<module>:105 - | epoch : 0 | training done |
2021-12-27 16:22:42.547 | CRITICAL | __main__:<module>:131 - | epoch : 0 | best_val_dice_score : 0.8081464163629082 |
2021-12-27 16:23:18.147 | INFO     | __main__:<module>:105 - | epoch : 1 | training done |
2021-12-27 16:23:20.453 | CRITICAL | __main__:<module>:131 - | epoch : 1 | best_val_dice_score : 0.8760947898966486 |
2021-12-27 16:23:56.149 | INFO     | __main__:<module>:105 - | epoch : 2 | training done |
2021-12-27 16:23:58.552 | INFO     | __main__:<module>:134 - | epoch : 2 | val done |
2021-12-27 16:24:33.934 | INFO     | __main__:<module>:105 - | epoch : 3 | training done |
2021-12-27 16:24:36.256 | CRITICAL | __main__:<module>:131 - | epoch : 3 | best_val_dice_score : 0.9108231531306973 |
2021-12-27 16:25:11.916 | INFO     | __main__:<module>:105 - | epoch : 4 | training done |
2021-12-27 16:25:14.232 | INFO     | __main__:<module>:134 - | epoch : 4 | val done |
2021-12-27 16:25:51.184 | INFO     | __main__:<module>:105 - | epoch : 5 | training done |
2021-12-27 16:25:53.651 | INFO     | __main__:<module>:134 - | epoch : 5 | val done |
2021-12-27 16:26:31.528 | INFO     | __main__:<module>:105 - | epoch : 6 | training done |
2021-12-27 16:26:33.890 | CRITICAL | __main__:<module>:131 - | epoch : 6 | best_val_dice_score : 0.9170258976690298 |
2021-12-27 16:27:10.395 | INFO     | __main__:<module>:105 - | epoch : 7 | training done |
2021-12-27 16:27:12.708 | CRITICAL | __main__:<module>:131 - | epoch : 7 | best_val_dice_score : 0.921586378653316 |
2021-12-27 16:27:48.361 | INFO     | __main__:<module>:105 - | epoch : 8 | training done |
2021-12-27 16:27:50.725 | INFO     | __main__:<module>:134 - | epoch : 8 | val done |
2021-12-27 16:28:27.757 | INFO     | __main__:<module>:105 - | epoch : 9 | training done |
2021-12-27 16:28:30.056 | CRITICAL | __main__:<module>:131 - | epoch : 9 | best_val_dice_score : 0.9227469432199441 |
2021-12-27 16:29:05.704 | INFO     | __main__:<module>:105 - | epoch : 10 | training done |
2021-12-27 16:29:08.026 | CRITICAL | __main__:<module>:131 - | epoch : 10 | best_val_dice_score : 0.9234328616438555 |
2021-12-27 16:29:45.202 | INFO     | __main__:<module>:105 - | epoch : 11 | training done |
2021-12-27 16:29:47.660 | CRITICAL | __main__:<module>:131 - | epoch : 11 | best_val_dice_score : 0.9276534988705605 |
2021-12-27 16:30:24.970 | INFO     | __main__:<module>:105 - | epoch : 12 | training done |
2021-12-27 16:30:27.324 | CRITICAL | __main__:<module>:131 - | epoch : 12 | best_val_dice_score : 0.934614800994111 |
2021-12-27 16:31:03.828 | INFO     | __main__:<module>:105 - | epoch : 13 | training done |
2021-12-27 16:31:06.163 | INFO     | __main__:<module>:134 - | epoch : 13 | val done |
2021-12-27 16:31:43.176 | INFO     | __main__:<module>:105 - | epoch : 14 | training done |
2021-12-27 16:31:45.523 | INFO     | __main__:<module>:134 - | epoch : 14 | val done |
2021-12-27 16:32:24.185 | INFO     | __main__:<module>:105 - | epoch : 15 | training done |
2021-12-27 16:32:26.504 | INFO     | __main__:<module>:134 - | epoch : 15 | val done |
2021-12-27 16:33:01.880 | INFO     | __main__:<module>:105 - | epoch : 16 | training done |
2021-12-27 16:33:04.201 | INFO     | __main__:<module>:134 - | epoch : 16 | val done |
2021-12-27 16:33:41.248 | INFO     | __main__:<module>:105 - | epoch : 17 | training done |
2021-12-27 16:33:43.573 | INFO     | __main__:<module>:134 - | epoch : 17 | val done |
2021-12-27 16:34:20.671 | INFO     | __main__:<module>:105 - | epoch : 18 | training done |
2021-12-27 16:34:23.026 | CRITICAL | __main__:<module>:131 - | epoch : 18 | best_val_dice_score : 0.9349163253476868 |
2021-12-27 16:35:00.289 | INFO     | __main__:<module>:105 - | epoch : 19 | training done |
2021-12-27 16:35:02.610 | INFO     | __main__:<module>:134 - | epoch : 19 | val done |
2021-12-27 16:35:38.875 | INFO     | __main__:<module>:105 - | epoch : 20 | training done |
2021-12-27 16:35:41.197 | CRITICAL | __main__:<module>:131 - | epoch : 20 | best_val_dice_score : 0.9378314531869008 |
2021-12-27 16:36:17.077 | INFO     | __main__:<module>:105 - | epoch : 21 | training done |
2021-12-27 16:36:19.597 | INFO     | __main__:<module>:134 - | epoch : 21 | val done |
2021-12-27 16:36:56.009 | INFO     | __main__:<module>:105 - | epoch : 22 | training done |
2021-12-27 16:36:58.358 | INFO     | __main__:<module>:134 - | epoch : 22 | val done |
2021-12-27 16:37:33.741 | INFO     | __main__:<module>:105 - | epoch : 23 | training done |
2021-12-27 16:37:36.042 | INFO     | __main__:<module>:134 - | epoch : 23 | val done |
2021-12-27 16:38:11.446 | INFO     | __main__:<module>:105 - | epoch : 24 | training done |
2021-12-27 16:38:13.785 | INFO     | __main__:<module>:134 - | epoch : 24 | val done |
2021-12-27 16:38:50.767 | INFO     | __main__:<module>:105 - | epoch : 25 | training done |
2021-12-27 16:38:53.111 | INFO     | __main__:<module>:134 - | epoch : 25 | val done |
2021-12-27 16:39:28.511 | INFO     | __main__:<module>:105 - | epoch : 26 | training done |
2021-12-27 16:39:30.860 | INFO     | __main__:<module>:134 - | epoch : 26 | val done |
2021-12-27 16:40:07.067 | INFO     | __main__:<module>:105 - | epoch : 27 | training done |
2021-12-27 16:40:09.475 | INFO     | __main__:<module>:134 - | epoch : 27 | val done |
2021-12-27 16:40:44.828 | INFO     | __main__:<module>:105 - | epoch : 28 | training done |
2021-12-27 16:40:47.177 | CRITICAL | __main__:<module>:131 - | epoch : 28 | best_val_dice_score : 0.9380341584635631 |
2021-12-27 16:41:23.755 | INFO     | __main__:<module>:105 - | epoch : 29 | training done |
2021-12-27 16:41:26.231 | CRITICAL | __main__:<module>:131 - | epoch : 29 | best_val_dice_score : 0.9407730072232068 |
